zona,reologia,conc,n_tomas,frac_plug_final_pct,frac_plug_max_pct,t_estab_s,t_estab_rel,t_final_s,plug_antes_de_cuasi
L,car-02,0000,4,100.0,100.0,3.8,0.19,19.97,True
L,car-02,0750,2,100.0,100.0,4.83,0.242,19.97,True
L,car-02,1500,2,100.0,100.0,4.43,0.222,19.97,True
L,car-02,3000,2,100.0,100.0,4.6,0.23,19.97,True
L,car-05,0000,4,100.0,100.0,1.2,0.03,39.97,True
L,car-05,0750,2,100.0,100.0,4.67,0.117,39.97,True
L,car-05,1500,2,100.0,100.0,3.27,0.082,39.97,True
L,car-05,3000,2,100.0,100.0,3.17,0.079,39.97,True
viga175,car-02,0000,4,99.7,100.0,4.23,0.212,19.97,True
viga175,car-02,0750,2,99.9,100.0,5.53,0.277,19.97,True
viga175,car-02,1500,2,100.0,100.0,5.07,0.254,19.97,True
viga175,car-02,3000,2,100.0,100.0,4.87,0.244,19.97,True
viga175,car-05,0000,3,99.9,100.0,2.17,0.054,39.97,True
viga175,car-05,0750,2,99.9,100.0,2.47,0.062,39.97,True
viga175,car-05,1500,2,100.0,100.0,3.13,0.078,39.97,True
viga175,car-05,3000,2,100.0,100.0,1.77,0.044,39.97,True
viga250,car-02,0000,4,100.0,100.0,2.93,0.147,19.97,True
viga250,car-02,0750,2,99.2,100.0,4.13,0.207,19.97,True
viga250,car-02,1500,2,100.0,100.0,4.03,0.202,19.97,True
viga250,car-02,3000,2,100.0,100.0,2.9,0.145,19.97,True
viga250,car-05,0000,3,99.9,100.0,9.9,0.248,39.97,True
viga250,car-05,0750,2,100.0,100.0,10.67,0.267,39.97,True
viga250,car-05,1500,2,100.0,100.0,8.17,0.204,39.97,True
viga250,car-05,3000,2,100.0,100.0,9.47,0.237,39.97,True
