respuesta,etapa,predictor,beta_std,abs_beta_std,p_value,r2_modelo,VIF,n_zonas
orden_S,transicion,V,0.037724016853817745,0.037724016853817745,0.3913781299103814,0.25395139178613013,3.19236606895433,39
orden_S,transicion,omega,0.6213211588064168,0.6213211588064168,0.07291842579881064,0.25395139178613013,190.78386124659752,39
orden_S,transicion,gamma_dot,-0.6374148820250944,0.6374148820250944,0.05203070057693764,0.25395139178613013,169.6764043231556,39
orden_S,cuasi,V,-0.07496414910344099,0.07496414910344099,0.009693811188761236,0.2718976996979352,1.1381573134028773,37
orden_S,cuasi,omega,-0.12441626832312601,0.12441626832312601,0.6579247147512319,0.2718976996979352,118.39898248975602,37
orden_S,cuasi,gamma_dot,0.08452798608467756,0.08452798608467756,0.7646635427147749,0.2718976996979352,119.75297743102092,37
sigma_iso,transicion,V,4.9670289587499035,4.9670289587499035,0.005498414298265399,0.4800798584731223,3.19236606895433,39
sigma_iso,transicion,omega,-6.186746874615453,6.186746874615453,0.6364520195290906,0.4800798584731223,190.78386124659752,39
sigma_iso,transicion,gamma_dot,7.064582257004313,7.064582257004313,0.567396836690502,0.4800798584731223,169.6764043231556,39
sigma_iso,cuasi,V,3.744374699049605,3.744374699049605,0.003850956890637286,0.26196140796614265,1.1381573134028773,37
sigma_iso,cuasi,omega,-2.774169556464087,2.774169556464087,0.8227177140455043,0.26196140796614265,118.39898248975602,37
sigma_iso,cuasi,gamma_dot,1.0030977163670032,1.0030977163670032,0.9357750733768259,0.26196140796614265,119.75297743102092,37
