reologia,concentracion,zona,nombre_grupo,rms_dt0,sesgo_dt0,dt_optimo_s,rms_dt_optimo,sesgo_dt_optimo,mejora_pct,n_dt_optimo,optimo_en_borde_rango,rms_aun_bajando_en_borde,delta_u_mm_s,sesgo_residual_gt_delta_u
car-02,0750,L,car-02_n-0750,41.5089,0.7452,0.45,37.7685,-2.8514,9.0,3462,False,False,3.08,False
car-02,0750,viga175,car-02_n-0750,20.6994,-9.9875,-2.35,15.4557,0.086,25.3,16074,False,False,1.41,False
car-02,0750,viga250,car-02_n-0750,18.9448,-9.1581,-2.5,14.244,-0.3322,24.8,10451,False,False,1.38,False
car-02,1500,L,car-02_n-1500,36.0857,-4.9997,-0.05,35.7606,-4.3135,0.9,4333,False,False,3.08,True
car-02,1500,viga175,car-02_n-1500,26.9571,-15.7427,-4.15,14.3389,0.6739,46.8,15039,False,False,1.41,False
car-02,1500,viga250,car-02_n-1500,30.5052,-18.2873,18.9,11.3404,-9.3694,62.8,10,False,False,1.38,True
car-02,3000,L,car-02_n-3000,42.1182,-2.0456,-0.3,41.9754,-0.5532,0.3,4380,False,False,3.08,False
car-02,3000,viga175,car-02_n-3000,36.377,-23.4268,-20.3,8.6595,1.8628,76.2,2,False,False,1.41,True
car-02,3000,viga250,car-02_n-3000,36.8265,-23.7506,18.9,9.1104,-8.6515,75.3,4,False,False,1.38,True
car-05,0750,L,car-05_n-0750,12.7822,6.929,5.2,9.2543,0.4807,27.6,2225,False,False,3.08,False
car-05,0750,viga175,car-05_n-0750,4.22,-2.7752,-16.25,3.0645,0.0104,27.4,8167,False,False,1.41,False
car-05,0750,viga250,car-05_n-0750,3.42,-2.4407,-29.2,2.0354,0.1516,40.5,125,False,False,1.38,False
car-05,1500,L,car-05_n-1500,12.6691,6.1075,4.6,9.6806,-0.4705,23.6,3039,False,False,3.08,False
car-05,1500,viga175,car-05_n-1500,5.6867,-4.1554,-26.95,3.6157,0.184,36.4,3818,False,False,1.41,False
car-05,1500,viga250,car-05_n-1500,4.8818,-3.6374,-30.0,3.3614,-0.0775,31.1,208,True,False,1.38,False
car-05,3000,L,car-05_n-3000,14.6988,8.6124,5.7,9.6102,-0.7324,34.6,2936,False,False,3.08,False
car-05,3000,viga175,car-05_n-3000,6.1353,-4.4659,-21.95,4.3857,-0.85,28.5,4857,False,False,1.41,False
car-05,3000,viga250,car-05_n-3000,5.023,-3.5431,-30.0,2.6231,0.1961,47.8,104,True,True,1.38,False
