ensayo,t_ultimo_s,n_frames_ventana,n_fibras_final,n_fibras_solo_ultimo_frame,n_rescatadas,n_sin_id
m70-toma-1-n-3000-car-02-ptv,20.605,10,682,113,569,0
m73-toma-1-n-1500-car-02-ptv,21.395,10,684,156,528,0
m74-toma-1-n-0750-car-02-ptv,20.323,10,491,194,297,0
m75-toma-1-n-0750-car-02-ptv,20.314,10,506,192,314,0
m77-toma-1-n-1500-car-02-ptv,20.327,10,676,217,459,0
m80-toma-1-n-3000-car-02-ptv,20.614,10,677,121,556,0
m83-toma-1-n-3000-car-05-ptv,41.259,10,914,233,681,0
m86-toma-1-n-0750-car-05-ptv,41.023,10,432,220,212,0
m87-toma-1-n-0750-car-05-ptv,40.995,10,427,215,212,0
m91-toma-1-n-3000-car-05-ptv,40.695,10,720,209,511,0
m94-toma-1-n-1500-car-05-ptv,40.723,10,733,229,504,0
m95-toma-1-n-1500-car-05-ptv,41.041,10,855,280,575,0
